Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
26,4,"['OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']",0.31779516566942295,1.0439048201983767,2973.5029766504304,31.779516566942295,0.507634248377609,0.6426783689513561,50.763424837760894,0.7,3
27,5,"['OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']",0.2518892514725073,1.3292498258805618,1801.2119167611938,25.18892514725073,0.45141642268762255,0.8033108556548106,45.141642268762254,1.6,3
28,5,"['OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']",0.29144477225548693,1.1808170593690241,1888.4995198286667,29.14447722554869,0.45024772756638015,0.8105057897331063,45.024772756638015,1.9,3
29,5,"['OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']",0.24873730055244084,1.3098949023987223,1798.6019316214467,24.873730055244085,0.45277017605302594,0.8165783930750383,45.277017605302596,2.0,3
30,4,"['OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']",0.3237704667173394,1.0281375816513902,3037.145511800709,32.377046671733936,0.5129742359173125,0.6360629194360035,51.29742359173125,0.6,3
31,5,"['OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.29377748139334897,1.1627235442178812,1959.8256103446367,29.377748139334898,0.45634541845294685,0.7954894060557144,45.634541845294684,1.6,3
32,5,"['OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.2932799837492939,1.1748543413298553,1916.515975410144,29.327998374929393,0.4551495539451203,0.8026110469750416,45.51495539451203,1.9,3
33,5,"['OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.29674421147015645,1.1806316604832312,1916.7272485247686,29.674421147015646,0.4576160030679635,0.8086187071840789,45.76160030679635,2.0,3
34,4,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LOCATION_Freq']",0.7632757929133114,0.5957150486447356,10055.309686300898,76.32757929133113,0.9505259526686178,0.059959371568290516,95.05259526686179,0.5,3
35,4,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'PREMISES_Freq']",0.7345911682319198,0.4860949012743601,8753.351382781728,73.45911682319198,0.9936152273262548,0.042811407729236875,99.36152273262549,0.5,3
