set_number,features,best_eps,best_min_samples,best_silhouette_score
1002,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Division_Freq']",0.8999999999999999,3,0.40829848558161463
1003,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Division_Freq', 'LOCATION_Freq']",1.6,3,0.3508659985744935
1004,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Division_Freq', 'PREMISES_Freq']",1.9000000000000004,3,0.34936353291184385
1005,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Division_Freq', 'Loca_Premi_Freq']",2.0000000000000004,3,0.3496981535466303
1006,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'HOOD_Freq']",0.7,3,0.4881020211233214
1007,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'HOOD_Freq', 'LOCATION_Freq']",1.6,3,0.409420514792648
1008,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'HOOD_Freq', 'PREMISES_Freq']",1.9000000000000004,3,0.4071416204259525
1009,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'HOOD_Freq', 'Loca_Premi_Freq']",2.0000000000000004,3,0.40811364686447793
1010,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'DIV_HOOD_Hier']",0.7,3,0.49126365407300104
1011,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'DIV_HOOD_Hier', 'LOCATION_Freq']",1.6,3,0.4116814452501465
1012,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'DIV_HOOD_Hier', 'PREMISES_Freq']",1.9000000000000004,3,0.4093485406035593
1013,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",2.0000000000000004,3,0.41021091500811846
1014,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA']",0.8999999999999999,3,0.4105558822784805
1015,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'LOCATION_Freq']",1.6,3,0.3524438386150267
1016,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'PREMISES_Freq']",1.9000000000000004,3,0.3515107230283904
1017,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Loca_Premi_Freq']",2.0000000000000004,3,0.35178443648044677
1018,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Division_Freq']",1.5,3,0.3449136889957811
1019,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']",1.8000000000000003,3,0.3025976118897767
1020,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']",1.9000000000000004,3,0.3019325329538744
1021,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']",2.0000000000000004,3,0.3021828684267895
1022,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'HOOD_Freq']",1.5,3,0.4049497458990177
1023,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']",1.7000000000000002,3,0.3481881599761322
1024,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']",1.9000000000000004,3,0.34708915754609865
1025,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']",2.1000000000000005,3,0.3477106492039133
1026,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']",0.8999999999999999,3,0.4076325941774237
1027,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']",1.7000000000000002,3,0.35035414599817205
1028,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']",1.9000000000000004,3,0.3492092730061243
1029,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",2.1000000000000005,3,0.3497561751011014
1030,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84']",0.8999999999999999,3,0.3480319814906163
1031,"['OCC_YEAR', 'OCC_MONTH_Num', 'DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']",1.6,3,0.3050822872347102
